taget,date,day,times,open,high,low,close,volume,MA.MA1,MA.MA2,MA.MA3,MA.MA4,VOL-TDX.VOLUME,VOL-TDX.MAVOL1,VOL-TDX.MAVOL2,MACD.DIF,MACD.DEA,MACD.MACD
202306010943 , 2023/06/01 09:43,2023/6/1,9:43,2495.23,2496.65,2494.39,2496.65,33619,2495.45,2496.86,2495.6,2495.15,33619,40349,43986,0.08,0.18,-0.21
202306010944 , 2023/06/01 09:44,2023/6/1,9:44,2496.65,2496.65,2493.77,2495.52,52147,2495.06,2496.48,2495.64,2495.18,52147,42280,43847,0.04,0.15,-0.23
202306010945 , 2023/06/01 09:45,2023/6/1,9:45,2495.32,2500.09,2494.52,2499.71,53644,2496.27,2496.5,2495.91,2495.26,53644,45482,44150,0.34,0.19,0.31
202306010946 , 2023/06/01 09:46,2023/6/1,9:46,2499.81,2500.47,2499.23,2499.23,34117,2497.19,2496.66,2496.15,2495.32,34117,43953,43231,0.54,0.26,0.56
202306010947 , 2023/06/01 09:47,2023/6/1,9:47,2499.02,2503,2498.6,2502.75,45538,2498.77,2496.97,2496.52,2495.46,45538,43813,43399,0.97,0.4,1.13
202306010948 , 2023/06/01 09:48,2023/6/1,9:48,2503.21,2505.53,2503.21,2505.2,43099,2500.48,2497.96,2497.01,2495.64,43099,45709,43029,1.49,0.62,1.74
202306010949 , 2023/06/01 09:49,2023/6/1,9:49,2505.76,2508.54,2504.82,2508.31,51632,2503.04,2499.05,2497.65,2495.86,51632,45606,43943,2.13,0.92,2.41
202306010950 , 2023/06/01 09:50,2023/6/1,9:50,2508.61,2508.81,2507.56,2508.32,51844,2504.76,2500.51,2498.4,2496.08,51844,45246,45364,2.6,1.26,2.69
202306010951 , 2023/06/01 09:51,2023/6/1,9:51,2507.79,2508.27,2505.24,2508.06,63694,2506.53,2501.86,2499.23,2496.32,63694,51161,47557,2.93,1.59,2.67
202306010952 , 2023/06/01 09:52,2023/6/1,9:52,2509.12,2509.85,2507.21,2508.64,47331,2507.71,2503.24,2500.01,2496.57,47331,51520,47667,3.19,1.91,2.56
202306010953 , 2023/06/01 09:53,2023/6/1,9:53,2508.85,2513.24,2508.85,2512.52,48494,2509.17,2504.83,2500.84,2496.91,48494,52599,49154,3.67,2.26,2.82
202306010954 , 2023/06/01 09:54,2023/6/1,9:54,2513.05,2515.53,2513.05,2514.96,47030,2510.5,2506.77,2501.63,2497.3,47030,51679,48642,4.2,2.65,3.1
202306010955 , 2023/06/01 09:55,2023/6/1,9:55,2515.25,2517.29,2515.25,2517.29,52683,2512.29,2508.53,2502.52,2497.7,52683,51846,48546,4.76,3.07,3.37
202306010956 , 2023/06/01 09:56,2023/6/1,9:56,2517.5,2522.86,2517.1,2522.86,67077,2515.25,2510.89,2503.77,2498.21,67077,52523,51842,5.58,3.57,4.01
202306010957 , 2023/06/01 09:57,2023/6/1,9:57,2522.56,2522.56,2520.09,2521.64,48756,2517.85,2512.78,2504.88,2498.69,48756,52808,52164,6.06,4.07,3.99
202306010958 , 2023/06/01 09:58,2023/6/1,9:58,2521.59,2521.74,2517.78,2517.78,37673,2518.91,2514.04,2506,2499.1,37673,50644,51621,6.07,4.47,3.19
202306010959 , 2023/06/01 09:59,2023/6/1,9:59,2518.13,2521.27,2518.13,2519.1,47731,2519.73,2515.12,2507.08,2499.52,47731,50784,51231,6.1,4.8,2.61
202306011000 , 2023/06/01 10:00,2023/6/1,10:00,2519.06,2519.06,2516.35,2516.65,37906,2519.61,2515.95,2508.23,2499.9,37906,47829,49838,5.87,5.01,1.72
202306011001 , 2023/06/01 10:01,2023/6/1,10:01,2516.28,2516.43,2515.15,2516.35,44986,2518.3,2516.78,2509.32,2500.29,44986,43410,47967,5.59,5.13,0.93
202306011002 , 2023/06/01 10:02,2023/6/1,10:02,2515.8,2518.64,2515.34,2518.05,36937,2517.59,2517.72,2510.48,2500.72,36937,41047,46927,5.45,5.19,0.52
202306011003 , 2023/06/01 10:03,2023/6/1,10:03,2517.53,2517.53,2514.53,2514.92,28270,2517.01,2517.96,2511.39,2501.09,28270,39166,44905,5.03,5.16,-0.27
202306011004 , 2023/06/01 10:04,2023/6/1,10:04,2514.45,2515.82,2513.52,2515.82,36404,2516.36,2518.05,2512.41,2501.45,36404,36901,43842,4.71,5.07,-0.72
202306011005 , 2023/06/01 10:05,2023/6/1,10:05,2515.82,2515.85,2515.32,2515.48,26783,2516.12,2517.86,2513.2,2501.82,26783,34676,41252,4.38,4.93,-1.11
202306011006 , 2023/06/01 10:06,2023/6/1,10:06,2515.54,2517.49,2514.98,2516.67,30397,2516.19,2517.25,2514.07,2502.2,30397,31758,37584,4.17,4.78,-1.23
202306011007 , 2023/06/01 10:07,2023/6/1,10:07,2516.24,2516.49,2513.41,2513.41,24183,2515.26,2516.42,2514.6,2502.5,24183,29207,35127,3.69,4.56,-1.74
202306011008 , 2023/06/01 10:08,2023/6/1,10:08,2513.49,2513.49,2510.44,2510.44,25605,2514.36,2515.69,2514.86,2502.76,25605,28674,33920,3.04,4.26,-2.43
202306011009 , 2023/06/01 10:09,2023/6/1,10:09,2510.21,2510.4,2508.47,2509.49,26040,2513.1,2514.73,2514.92,2503.02,26040,26602,31751,2.42,3.89,-2.94
202306011010 , 2023/06/01 10:10,2023/6/1,10:10,2508.95,2510.14,2508.79,2509.73,21088,2511.95,2514.04,2514.99,2503.22,21088,25463,30069,1.92,3.5,-3.14
202306011011 , 2023/06/01 10:11,2023/6/1,10:11,2509.56,2509.62,2508.63,2508.67,26240,2510.35,2513.27,2515.02,2503.4,26240,24631,28195,1.43,3.08,-3.3
202306011012 , 2023/06/01 10:12,2023/6/1,10:12,2509,2509.13,2506.92,2506.98,26337,2509.06,2512.16,2514.94,2503.57,26337,25062,27135,0.89,2.64,-3.5
202306011013 , 2023/06/01 10:13,2023/6/1,10:13,2506.63,2506.91,2505.85,2506.48,25589,2508.27,2511.32,2514.64,2503.72,25589,25059,26867,0.42,2.2,-3.56
202306011014 , 2023/06/01 10:14,2023/6/1,10:14,2506.83,2508.18,2506.47,2508.18,21779,2508.01,2510.55,2514.3,2503.91,21779,24207,25404,0.18,1.8,-3.23
202306011015 , 2023/06/01 10:15,2023/6/1,10:15,2508.1,2508.1,2506.43,2506.99,23711,2507.46,2509.7,2513.78,2504.08,23711,24731,25097,-0.1,1.42,-3.04
202306011016 , 2023/06/01 10:16,2023/6/1,10:16,2506.6,2506.6,2505.56,2505.8,27584,2506.89,2508.62,2512.93,2504.19,27584,25000,24816,-0.42,1.05,-2.94
202306011017 , 2023/06/01 10:17,2023/6/1,10:17,2505.35,2506.8,2504.38,2506.79,29336,2506.85,2507.96,2512.19,2504.33,29336,25600,25331,-0.58,0.72,-2.61
202306011018 , 2023/06/01 10:18,2023/6/1,10:18,2506.79,2507.46,2506.57,2507.11,23564,2506.97,2507.62,2511.66,2504.5,23564,25195,25127,-0.68,0.44,-2.24
202306011019 , 2023/06/01 10:19,2023/6/1,10:19,2506.98,2507.36,2506.59,2507.09,22983,2506.76,2507.38,2511.05,2504.67,22983,25436,24821,-0.75,0.21,-1.91
202306011020 , 2023/06/01 10:20,2023/6/1,10:20,2507.09,2507.3,2506.22,2506.22,21118,2506.6,2507.03,2510.53,2504.83,21118,24917,24824,-0.86,-0.01,-1.71
202306011021 , 2023/06/01 10:21,2023/6/1,10:21,2506.04,2506.04,2504.2,2504.96,30331,2506.43,2506.66,2509.96,2504.97,30331,25466,25233,-1.04,-0.22,-1.66
202306011022 , 2023/06/01 10:22,2023/6/1,10:22,2505.03,2505.11,2504.25,2504.42,26960,2505.96,2506.4,2509.28,2505.1,26960,24991,25296,-1.22,-0.42,-1.6
202306011023 , 2023/06/01 10:23,2023/6/1,10:23,2504.27,2504.44,2503.27,2503.92,26465,2505.32,2506.15,2508.73,2505.24,26465,25571,25383,-1.38,-0.61,-1.54
202306011024 , 2023/06/01 10:24,2023/6/1,10:24,2504.21,2507.95,2504.21,2507.95,33678,2505.49,2506.13,2508.34,2505.46,33678,27710,26573,-1.17,-0.72,-0.9
202306011025 , 2023/06/01 10:25,2023/6/1,10:25,2507.43,2507.87,2506.82,2506.82,19235,2505.61,2506.11,2507.91,2505.67,19235,27334,26125,-1.08,-0.79,-0.58
202306011026 , 2023/06/01 10:26,2023/6/1,10:26,2506.82,2507.03,2505.79,2505.79,20560,2505.78,2506.11,2507.36,2505.86,20560,25380,25423,-1.08,-0.85,-0.46
202306011027 , 2023/06/01 10:27,2023/6/1,10:27,2505.76,2505.89,2505.04,2505.39,16113,2505.97,2505.97,2506.96,2506.03,16113,23210,24101,-1.1,-0.9,-0.4
202306011028 , 2023/06/01 10:28,2023/6/1,10:28,2505.24,2506.36,2504.91,2505.69,17469,2506.33,2505.83,2506.72,2506.2,17469,21411,23491,-1.08,-0.94,-0.29
202306011029 , 2023/06/01 10:29,2023/6/1,10:29,2505.74,2506.23,2505.24,2505.42,17219,2505.82,2505.66,2506.52,2506.37,17219,18119,22915,-1.07,-0.96,-0.22
202306011030 , 2023/06/01 10:30,2023/6/1,10:30,2505.52,2508.4,2505.31,2508.4,27150,2506.14,2505.88,2506.45,2506.62,27150,19702,23518,-0.82,-0.93,0.23
202306011031 , 2023/06/01 10:31,2023/6/1,10:31,2507.91,2509.93,2507.91,2509.14,34416,2506.81,2506.29,2506.48,2506.91,34416,22473,23927,-0.55,-0.86,0.62
202306011032 , 2023/06/01 10:32,2023/6/1,10:32,2509.14,2509.14,2507.93,2508.17,23806,2507.36,2506.67,2506.54,2507.16,23806,24012,23611,-0.41,-0.77,0.72
202306011033 , 2023/06/01 10:33,2023/6/1,10:33,2507.89,2507.89,2505.97,2506.51,24246,2507.53,2506.93,2506.54,2507.34,24246,25367,23389,-0.43,-0.7,0.54
